school_code,county,pub-priv,district,city,school_name,enrollment,up-to-date-percentage,conditional-percentage,medical-exemption-percentage,belief-exemption-percentage,religious-belief_exemption_percentage
6001812,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,EMERSON ELEMENTARY,80,98,0,0,3,0
102988,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ENCOMPASS ACADEMY ELEMENTARY,61,100,0,0,0,0
6002190,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ESPERANZA ELEMENTARY,65,97,3,0,0,0
6001820,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,FRANKLIN ELEMENTARY,138,96,4,0,0,0
112813,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,FRED T. KOREMATSU DISCOVERY ACADEMY,76,100,0,0,0,0
6001838,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,FRUITVALE ELEMENTARY,72,96,4,0,0,0
115576,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,FUTURES ELEMENTARY,50,100,0,0,0,0
6001846,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,GARFIELD ELEMENTARY,144,99,1,0,0,0
6001853,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,GLENVIEW ELEMENTARY,91,98,1,0,0,0
115584,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,GLOBAL FAMILY,94,98,2,0,0,0
6001879,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,GRASS VALLEY ELEMENTARY,65,98,0,0,0,0
115618,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,GREENLEAF ELEMENTARY,94,99,1,0,0,0
6001911,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,HILLCREST ELEMENTARY,51,98,0,0,0,0
6057046,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,HOOVER ELEMENTARY,53,96,4,0,0,0
6001929,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,HORACE MANN ELEMENTARY,90,96,4,0,0,0
6001713,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,HOWARD ELEMENTARY,43,95,0,0,0,0
6114011,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,"INDEPENDENT STUDY, SOJOURNER TRUTH",,,,,,
6118616,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,INTERNATIONAL COMMUNITY,48,98,0,0,0,0
6001945,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,JOAQUIN MILLER ELEMENTARY,75,99,1,0,0,0
6001895,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,KAISER ELEMENTARY,47,98,2,0,0,0
6096523,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,LA ESCUELITA ELEMENTARY,74,96,3,0,0,0
6001978,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,LAFAYETTE ELEMENTARY,25,96,0,0,0,0
6001994,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,LAUREL ELEMENTARY,120,98,0,0,0,0
115592,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,LEARNING WITHOUT LIMITS,72,97,0,3,0,0
130633,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,LIGHTHOUSE COMMUNITY CHARTER,48,100,0,0,0,0
6002018,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,LINCOLN ELEMENTARY,120,100,0,0,0,0
6002182,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MADISON PARK ACADEMY TK-5,62,95,2,0,0,0
6002042,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MANZANITA COMMUNITY,87,98,1,0,1,0
110247,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MANZANITA SEED,101,98,1,0,0,0
6002059,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MARKHAM ELEMENTARY,92,98,2,0,0,0
6072235,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,"MARTIN LUTHER KING, JR. ELEMENTARY",58,97,2,0,0,0
6118640,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MELROSE LEADERSHIP ACADEMY,97,92,3,0,3,0
6002083,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MONTCLAIR ELEMENTARY,124,99,0,0,0,0
6001903,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,NEW HIGHLAND ACADEMY,69,100,0,0,0,0
6117972,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,NORTH OAKLAND COMMUNITY CHARTER,22,95,0,0,5,0
6002091,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,PARKER ELEMENTARY,56,100,0,0,0,0
6002109,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,PERALTA ELEMENTARY,56,93,4,0,4,0
